                [STATISTICS]
        most to least similar:
776 afrikaans_georgian : 0.599730
777 galician_gujarati : 0.599722
778 hindi_armenian : 0.599505
779 bulgarian_english : 0.599418
780 bashkir_lithuanian : 0.599328
781 czech_haitian : 0.599321
782 asturian_english : 0.599311
783 danish_mongolian : 0.599301
784 gujarati_norwegian : 0.599292
785 gujarati_hausa : 0.599279
786 greek_iloko : 0.599270
787 frisian_mongolian : 0.599256
788 finnish_haitian : 0.599142
789 breton_nepali : 0.599077
790 croatian_punjabi : 0.599047
791 hausa_croatian : 0.598959
792 asturian_danish : 0.598957
793 breton_french : 0.598836
794 georgian_polish : 0.598815
795 khmer_dutch : 0.598801
796 estonian_gujarati : 0.598793
797 azerbaijani_greek : 0.598763
798 bashkir_frisian : 0.598725
799 danish_nepali : 0.598721
800 german_nepali : 0.598671
801 czech_malayalam : 0.598626
802 korean_nepali : 0.598551
803 french_khmer : 0.598515
804 azerbaijani_khmer : 0.598487
805 breton_lithuanian : 0.598334
806 bengali_italian : 0.598322
807 bengali_armenian : 0.598262
808 armenian_georgian : 0.598197
809 greek_hindi : 0.598095
810 amharic_bulgarian : 0.598063
811 gaelic_iloko : 0.598035
812 hausa_iloko : 0.598030
813 catalan_latvian : 0.598011
814 irish_haitian : 0.597981
815 amharic_italian : 0.597934
816 bashkir_georgian : 0.597909
817 azerbaijani_gujarati : 0.597814
818 welsh_hausa : 0.597693
819 hausa_malagasy : 0.597651
820 amharic_croatian : 0.597558
821 greek_malagasy : 0.597549
822 azerbaijani_norwegian : 0.597538
823 hebrew_georgian : 0.597529
824 indonesian_polish : 0.597465
825 bengali_malagasy : 0.597445
826 danish_hebrew : 0.597427
827 spanish_marathi : 0.597335
828 hindi_mongolian : 0.597317
829 amharic_asturian : 0.597281
830 bengali_spanish : 0.597096
831 hindi_icelandic : 0.597033
832 catalan_irish : 0.597020
833 asturian_mongolian : 0.596961
834 mongolian_norwegian : 0.596902
835 iloko_icelandic : 0.596777
836 english_haitian : 0.596764
837 javanese_lithuanian : 0.596751
838 icelandic_occitan : 0.596658
839 gaelic_javanese : 0.596591
840 hindi_haitian : 0.596587
841 german_marathi : 0.596585
842 irish_marathi : 0.596579
843 haitian_indonesian : 0.596552
844 hausa_marathi : 0.596498
845 greek_korean : 0.596419
846 danish_occitan : 0.596327
847 danish_kannada : 0.596057
848 hindi_occitan : 0.596052
849 mongolian_polish : 0.595961
850 irish_punjabi : 0.595893
851 croatian_norwegian : 0.595701
852 croatian_mongolian : 0.595576
853 spanish_khmer : 0.595483
